Index,FirstName,IsMale,IsFemale
1067,Amada,false,true
1068,Amadej,true,false
1069,Amadeo,true,false
1070,Amadeus,true,false
1071,Amadi,true,false
1072,Amado,true,false
1073,Amador,true,false
1074,Amadou,true,false
1075,Amadu,true,false
1076,Amahle,true,true
1077,Amaia,false,true
1078,Amaka,false,true
1079,Amal,true,true
1080,Amala,false,true
1081,Amalasuintha,false,true
1082,Amalbert,true,false
1083,Amália,false,true
1084,Amalia,false,true
1085,Amálie,false,true
1086,Amalie,false,true
1087,Amalija,false,true
1088,Amaliya,false,true
1089,Amalric,true,false
1090,Amalthea,false,true
1091,Amaltheia,false,true
1092,Amâncio,true,false
1093,Amancio,true,false
1094,Amand,true,false
1095,Amanda,false,true
1096,Amandeep,true,true
1097,Amandine,false,true
1098,Amando,true,false
1099,Amandus,true,false
1100,Amani,true,true
1101,Amantius,true,false
1102,Amar,true,false
1103,Amara,false,true
1104,Amarachi,false,true
1105,Amaranta,false,true
1106,Amarante,false,true
1107,Amarantha,false,true
1108,Amardeep,true,true
1109,Amari,true,true
1110,Amariah,true,false
1111,Amarilis,false,true
1112,Amarjeet,true,true
1113,Amaro,true,false
1114,Amaru,true,false
1115,'Amaryahu,true,false
1116,Amaryllis,false,true
1117,Amata,false,true
1118,Amaterasu,false,true
1119,Amato,true,false
1120,Amator,true,false
1121,Amatore,true,false
1122,Amatus,true,false
1123,Amaury,true,false
1124,Amaya,false,true
1125,Ambakoum,true,false
1126,Ámbar,false,true
1127,Amber,false,true
1128,Amberly,false,true
1129,Amberlynn,false,true
1130,Ambra,false,true
1131,Ambram,true,false
1132,Ambre,false,true
1133,Ambrogino,true,false
1134,Ambrogio,true,false
1135,Ambroise,true,false
1136,Ambroos,true,false
1137,Ambrose,true,false
1138,Ambrosi,true,false
1139,Ambrosia,false,true
1140,Ambrosine,false,true
1141,Ambrósio,true,false
1142,Ambrosio,true,false
1143,Ambrosios,true,false
1144,Ambrosius,true,false
1145,Ambrož,true,false
1146,Ambrozije,true,false
1147,Ambroży,true,false
1148,Ambrus,true,false
1149,Amé,true,false
1150,Amedea,false,true
1151,Amédée,true,false
1152,Amedeo,true,false
1153,Amée,false,true
1154,Amel,true,true
1155,Amela,false,true
1156,Amélia,false,true
1157,Amelia,false,true
1158,Amélie,false,true
1159,Amelie,false,true
1160,Amelija,false,true
1161,Amelina,false,true
1162,Amen,true,false
1163,Amenemhat,true,false
1164,Amenemhet,true,false
1165,Amenhotep,true,false
1166,Ameqran,true,false
1167,Ameretat,false,true
1168,América,false,true
1169,America,false,true
1170,Américo,true,false
1171,Amerigo,true,false
1172,Amery,true,true
1173,Amethyst,false,true
1174,Amets,true,true
1175,Ameyalli,true,true
1176,Amhlaidh,true,false
1177,Amhlaoibh,true,false
1178,Ami,true,true
1179,Amias,true,false
1180,Amice,false,true
1181,Amichai,true,false
1182,Amie,false,true
1183,Amihan,false,true
1184,Amika,false,true
1185,Amílcar,true,false
1186,Amilcare,true,false
